Indicator,Number of observations,Mean,Median,Skewness,Kurtosis,Min,Max,Standard Deviation,Sharpe Ratio
SPY,131.0,0.011846831235411547,0.017734202848874725,-0.43211440259658,0.6155341918287989,-0.12487117726312935,0.12698372422306448,0.04317735297103991,0.8179607903483243
XLB,131.0,0.008184456439989258,0.011760669747231667,-0.13351137945972763,0.13335845360426646,-0.13996705742387416,0.15186500176398066,0.055002071324405724,0.41144892860128546
XLE,131.0,0.008157659549674793,0.008997690901642041,0.17023232974474534,3.800002139105053,-0.3437096612738175,0.3076392471268712,0.0836579496671158,0.26940316199403963
XLF,131.0,0.011404835100904336,0.01888120118720016,-0.45246839051664184,1.6318402408515116,-0.21035948348399014,0.16848268273173583,0.055126103286361264,0.6128904497820428
XLI,131.0,0.010968038904139518,0.008660491948460747,-0.27387419241207345,1.2901989770263667,-0.1862594440981118,0.16027420499396405,0.052437365693936554,0.6154610438590755
XLK,131.0,0.017789278016338294,0.020872060439050655,-0.23087901905554417,-0.34952872925265543,-0.11967106449553311,0.13736465907097561,0.0551095055500223,1.014391631626538
XLP,131.0,0.006611886533730801,0.008683042479078251,-0.11875974138612269,0.2576213698991241,-0.08914537986723037,0.10454658895041558,0.03592986290156114,0.4782373206423974
XLU,131.0,0.008071311823862696,0.012881212917322582,-0.315833878446948,-0.080040017978384,-0.11281005553624934,0.10552057938776738,0.04345930092861965,0.5117109202086836
XLV,131.0,0.008452884857530386,0.014016027868498648,-0.07378013050504435,-0.23846627808977283,-0.09353601322952132,0.12587449726098576,0.041830204456383885,0.5632390981162335
XLY,131.0,0.012012354856086817,0.01271406791639662,0.1741350040489312,1.112405444229137,-0.14913319127849634,0.18882547215840395,0.057103947927959316,0.628516481003096
