Indicator,Number of observations,Mean,Median,Skewness,Kurtosis,Min,Max,Standard Deviation,Sharpe Ratio
SPY,119.0,0.013036043621373304,0.01854927382248417,-0.5269004126862232,0.7993189935418519,-0.12487117726312935,0.12698372422306448,0.04332938826072747,0.9101659610559708
XLB,119.0,0.010343939048910917,0.014883905620289628,-0.25099266641702694,0.3645497217044458,-0.13996705742387416,0.15186500176398066,0.053294507658791956,0.5649965040203951
XLE,119.0,0.010716887659774634,0.015538709220136893,0.1104342828891952,3.8986559576305075,-0.3437096612738175,0.3076392471268712,0.08521007508875852,0.3685379030971529
XLF,119.0,0.01277769496914232,0.022359346158603355,-0.48312793245806496,1.7313307490013163,-0.21035948348399014,0.16848268273173583,0.0559339503220192,0.6890625121762176
XLI,119.0,0.012554176555514697,0.011126076180718814,-0.3646216158449076,1.3930990167467967,-0.1862594440981118,0.16027420499396405,0.05329196978140128,0.7086939736341032
XLK,119.0,0.019042375826756858,0.022260603832968018,-0.3115389651683694,-0.28493031724775264,-0.11967106449553311,0.13736465907097561,0.055678500311239595,1.081988183324943
XLP,119.0,0.006536875350744117,0.010487899115068977,-0.11759679184336648,0.30490849796800745,-0.08914537986723037,0.10454658895041558,0.036228467986829535,0.4671231201690873
XLU,119.0,0.009025677790716734,0.01507658941211032,-0.3468437331165451,-0.01971471036722372,-0.11281005553624934,0.10552057938776738,0.04388904162065648,0.5820272809283445
XLV,119.0,0.009419739047908077,0.014026069372611305,-0.011269362943320193,-0.2174423875600393,-0.09353601322952132,0.12587449726098576,0.041121945870788115,0.6543875107242255
XLY,119.0,0.012515741345722666,0.01314573726162016,0.15062367478190125,1.1405682400116617,-0.14913319127849634,0.18882547215840395,0.05809772815187257,0.647780137916427
