Year,Model,Top3
2021,GB,"XLE, XLB, XLI"
2021,HistMean,"XLK, XLY, XLF"
2021,RF,"XLE, XLB, XLI"
2021,Ridge,"XLI, XLY, XLE"
2022,GB,"XLI, XLK, XLP"
2022,HistMean,"XLK, XLE, XLB"
2022,RF,"XLK, XLF, XLI"
2022,Ridge,"XLB, XLP, XLF"
2023,GB,"XLP, XLK, XLF"
2023,HistMean,"XLK, XLE, XLY"
2023,RF,"XLP, XLK, XLU"
2023,Ridge,"XLP, XLV, XLK"
2024,GB,"XLY, XLI, XLV"
2024,HistMean,"XLK, XLF, XLY"
2024,RF,"XLK, XLV, XLI"
2024,Ridge,"XLI, XLB, XLV"
2025,GB,"XLY, XLP, XLF"
2025,HistMean,"XLK, XLF, XLI"
2025,RF,"XLY, XLP, XLK"
2025,Ridge,"XLE, XLP, XLI"
